,Airlines,Sources,Destinations,Duration,Total Stops,Date,Departure Time,Arrival Time,Prices
0,Akasa Air,BOM,DEL,2h 15m,direct,2024-06-23,19:00,21:15,"₹ 5,602"
1,SpiceJet,BOM,DEL,2h 10m,direct,2024-06-23,23:10,01:20+1,"₹ 4,804"
2,Air India,BOM,DEL,2h 00m,direct,2024-06-23,10:15,12:15,"₹ 5,838"
3,SpiceJet,BOM,DEL,2h 10m,direct,2024-06-23,12:40,14:50,"₹ 5,086"
4,SpiceJet,BOM,DEL,2h 10m,direct,2024-06-23,09:05,11:15,"₹ 5,122"
5,Air India,BOM,DEL,2h 20m,direct,2024-06-23,08:00,10:20,"₹ 5,363"
6,Vistara,BOM,DEL,2h 10m,direct,2024-06-23,19:45,21:55,"₹ 6,977"
7,IndiGo,BOM,DEL,2h 05m,direct,2024-06-23,08:30,10:35,"₹ 5,926"
8,Vistara,BOM,DEL,2h 15m,direct,2024-06-23,20:40,22:55,"₹ 6,410"
9,Akasa Air,BOM,DEL,2h 20m,direct,2024-06-23,12:55,15:15,"₹ 6,446"
10,Air India,BOM,DEL,2h 15m,direct,2024-06-23,19:00,21:15,"₹ 6,447"
11,Air India,BOM,DEL,2h 15m,direct,2024-06-23,11:15,13:30,"₹ 6,447"
12,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,19:00,21:10,"₹ 6,820"
13,Air India,BOM,DEL,2h 15m,direct,2024-06-23,13:00,15:15,"₹ 6,972"
14,Air India,BOM,DEL,2h 15m,direct,2024-06-23,10:00,12:15,"₹ 6,972"
15,Vistara,BOM,DEL,2h 05m,direct,2024-06-23,19:10,21:15,"₹ 6,977"
16,Vistara,BOM,DEL,2h 10m,direct,2024-06-23,18:30,20:40,"₹ 7,817"
17,Vistara,BOM,DEL,2h 10m,direct,2024-06-23,22:50,01:00+1,"₹ 4,852"
18,IndiGo,BOM,DEL,2h 20m,direct,2024-06-23,10:50,13:10,"₹ 6,681"
19,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,20:00,22:10,"₹ 6,820"
20,IndiGo,BOM,DEL,2h 05m,direct,2024-06-23,15:30,17:35,"₹ 7,205"
21,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,14:15,16:25,"₹ 7,205"
22,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,17:00,19:10,"₹ 7,205"
23,Air India,BOM,DEL,2h 30m,direct,2024-06-23,16:00,18:30,"₹ 7,207"
24,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,13:15,15:25,"₹ 7,660"
25,IndiGo,BOM,DEL,2h 00m,direct,2024-06-23,09:45,11:45,"₹ 7,730"
26,Vistara,BOM,DEL,2h 10m,direct,2024-06-23,12:35,14:45,"₹ 7,817"
27,Vistara,BOM,DEL,2h 15m,direct,2024-06-23,17:25,19:40,"₹ 7,817"
28,IndiGo,BOM,DEL,2h 05m,direct,2024-06-23,23:30,01:35+1,"₹ 4,825"
29,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,22:15,00:25+1,"₹ 4,877"
30,Vistara,BOM,DEL,2h 15m,direct,2024-06-23,21:55,00:10+1,"₹ 5,268"
31,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,21:15,23:25,"₹ 5,402"
32,Air India,BOM,DEL,2h 15m,direct,2024-06-23,21:00,23:15,"₹ 5,675"
33,IndiGo,BOM,DEL,2h 15m,direct,2024-06-23,12:15,14:30,"₹ 7,867"
34,IndiGo,BOM,DEL,2h 10m,direct,2024-06-23,18:00,20:10,"₹ 8,570"
35,Air India,BOM,DEL,2h 20m,direct,2024-06-23,15:35,17:55,"₹ 9,055"
36,Air India,BOM,DEL,2h 20m,direct,2024-06-23,18:00,20:20,"₹ 9,055"
37,Vistara,BOM,DEL,2h 15m,direct,2024-06-23,11:50,14:05,"₹ 9,077"
38,Vistara,BOM,DEL,2h 20m,direct,2024-06-23,14:40,17:00,"₹ 9,077"
39,Vistara,BOM,DEL,4h 25m,1 stop,2024-06-23,12:20,16:45,"₹ 7,166"
40,IndiGo,BOM,DEL,6h 20m,1 stop,2024-06-23,16:50,23:10,"₹ 5,090"
41,IndiGo,BOM,DEL,5h 00m,1 stop,2024-06-23,20:00,01:00+1,"₹ 6,680"
42,Air India,BOM,DEL,5h 55m,1 stop,2024-06-23,18:35,00:30+1,"₹ 7,332"
43,Air India,BOM,DEL,5h 10m,1 stop,2024-06-23,18:35,23:45,"₹ 7,485"
44,IndiGo,BOM,DEL,4h 45m,1 stop,2024-06-23,18:25,23:10,"₹ 7,747"
45,Air India,BOM,DEL,4h 50m,1 stop,2024-06-23,15:30,20:20,"₹ 8,769"
46,Vistara,BOM,DEL,2h 25m,direct,2024-06-23,15:45,18:10,"₹ 16,472"
47,Vistara,BOM,DEL,7h 05m,1 stop,2024-06-23,09:40,16:45,"₹ 7,240"
48,IndiGo,BOM,DEL,7h 55m,1 stop,2024-06-23,15:15,23:10,"₹ 7,327"
49,IndiGo,BOM,DEL,7h 20m,1 stop,2024-06-23,16:05,23:25,"₹ 7,747"
50,Air India,BOM,DEL,9h 00m,1 stop,2024-06-23,15:30,00:30+1,"₹ 7,833"
51,Vistara,BOM,DEL,6h 55m,1 stop,2024-06-23,15:05,22:00,"₹ 7,953"
52,IndiGo,BOM,DEL,6h 35m,1 stop,2024-06-23,18:25,01:00+1,"₹ 7,957"
53,Air India,BOM,DEL,8h 15m,1 stop,2024-06-23,15:30,23:45,"₹ 8,033"
54,IndiGo,BOM,DEL,5h 20m,1 stop,2024-06-23,15:15,20:35,"₹ 8,937"
55,Vistara,BOM,DEL,7h 30m,1 stop,2024-06-23,13:50,21:20,"₹ 11,416"
56,Air India,BOM,DEL,5h 40m,1 stop,2024-06-23,16:05,21:45,"₹ 14,377"
57,IndiGo,BOM,DEL,5h 40m,1 stop,2024-06-23,18:30,00:10+1,"₹ 14,384"
58,Air India Express,BOM,DEL,8h 50m,1 stop,2024-06-23,22:35,07:25+1,"₹ 6,765"
59,Vistara,BOM,DEL,8h 50m,1 stop,2024-06-23,13:50,22:40,"₹ 11,154"
60,IndiGo,BOM,DEL,7h 20m,1 stop,2024-06-23,16:50,00:10+1,"₹ 13,404"
61,Air India,BOM,DEL,8h 00m,1 stop,2024-06-23,15:25,23:25,"₹ 15,071"
62,Air India,BOM,DEL,7h 45m,1 stop,2024-06-23,15:55,23:40,"₹ 15,642"
63,Air India,BOM,DEL,7h 20m,1 stop,2024-06-23,13:10,20:30,"₹ 16,131"
64,Air India,BOM,DEL,7h 05m,1 stop,2024-06-23,10:15,17:20,"₹ 16,854"
65,Air India,BOM,DEL,6h 50m,1 stop,2024-06-23,17:15,00:05+1,"₹ 17,019"
66,Vistara,BOM,DEL,7h 10m,1 stop,2024-06-23,15:35,22:45,"₹ 17,429"
67,Vistara,BOM,DEL,5h 40m,1 stop,2024-06-23,16:00,21:40,"₹ 18,338"
68,"Akasa Air, Air India",BOM,DEL,8h 35m,1 stop,2024-06-23,23:55,08:30+1,"₹ 18,413"
69,Vistara,BOM,DEL,6h 20m,1 stop,2024-06-23,16:00,22:20,"₹ 18,443"
70,"Air India Express, Air India Express",BOM,DEL,8h 00m,1 stop,2024-06-23,12:15,20:15,"₹ 21,007"
71,Vistara,BOM,DEL,6h 15m,1 stop,2024-06-23,17:50,00:05+1,"₹ 23,293"
72,Vistara,BOM,DEL,5h 10m,1 stop,2024-06-23,15:35,20:45,"₹ 26,942"
73,Vistara,BOM,DEL,5h 40m,1 stop,2024-06-23,11:25,17:05,"₹ 31,048"
74,Air India Express,BOM,DEL,8h 25m,1 stop,2024-06-23,12:25,20:50,"₹ 27,250"
75,Vistara,BOM,DEL,7h 50m,1 stop,2024-06-23,16:00,23:50,"₹ 27,770"
76,Air India,BOM,DEL,8h 20m,1 stop,2024-06-23,15:05,23:25,"₹ 28,003"
77,Akasa Air,BOM,DEL,7h 25m,1 stop,2024-06-23,23:55,07:20+1,"₹ 28,895"
78,Vistara,BOM,DEL,8h 50m,2 stops,2024-06-23,11:25,20:15,"₹ 33,216"
79,Air India,BOM,DEL,4h 55m,1 stop,2024-06-23,15:00,19:55,"₹ 33,973"
80,SpiceJet,BOM,DEL,5h 20m,1 stop,2024-06-23,12:25,17:45,"₹ 37,488"
81,Etihad Airways,BOM,DEL,8h 50m,1 stop,2024-06-23,23:05,07:55+1,"₹ 37,714"
82,SpiceJet,BOM,DEL,8h 30m,1 stop,2024-06-23,12:25,20:55,"₹ 38,190"
83,SpiceJet,BOM,DEL,6h 35m,1 stop,2024-06-23,14:20,20:55,"₹ 39,046"
84,Vistara,BOM,DEL,8h 45m,2 stops,2024-06-23,15:05,23:50,"₹ 40,817"
85,Air India,BOM,DEL,8h 00m,1 stop,2024-06-23,15:00,23:00,"₹ 41,414"
86,Vistara,BOM,DEL,6h 20m,1 stop,2024-06-23,17:30,23:50,"₹ 42,648"
87,"Air India, Vistara",BOM,DEL,6h 30m,1 stop,2024-06-23,15:30,22:00,"₹ 50,403"
88,Air India,BOM,DEL,5h 40m,1 stop,2024-06-23,16:40,22:20,"₹ 51,637"
89,Air India,BOM,DEL,6h 45m,1 stop,2024-06-23,09:25,16:10,"₹ 51,637"
